Date,Close
2019-04-26,4330
2019-04-29,4340
2019-04-30,4370
2019-05-02,4370
2019-05-03,4380
2019-05-06,4230
2019-05-07,4250
2019-05-08,4220
2019-05-09,4120
2019-05-10,4120
2019-05-13,4100
2019-05-14,4050
2019-05-15,3890
2019-05-16,3860
2019-05-17,3790
2019-05-20,3750
2019-05-21,3750
2019-05-22,3770
2019-05-23,3850
2019-05-24,3850
2019-05-27,3920
2019-05-28,3810
2019-05-29,3940
2019-05-31,4100
2019-06-10,4230
2019-06-11,4230
2019-06-12,4210
2019-06-13,4200
2019-06-14,4230
2019-06-17,4200
2019-06-18,4260
2019-06-19,4290
2019-06-20,4310
2019-06-21,4360
2019-06-24,4310
2019-06-25,4330
2019-06-26,4360
2019-06-27,4380
2019-06-28,4360
2019-07-01,4420
2019-07-02,4410
2019-07-03,4400
2019-07-04,4390
2019-07-05,4400
2019-07-08,4400
2019-07-09,4410
2019-07-10,4470
2019-07-11,4510
2019-07-12,4510
2019-07-15,4530
2019-07-16,4550
2019-07-17,4520
2019-07-18,4450
2019-07-19,4480
2019-07-22,4500
2019-07-23,4490
2019-07-24,4450
2019-07-25,4460
2019-07-26,4440
2019-07-29,4460
2019-07-30,4500
2019-07-31,4480
2019-08-01,4450
2019-08-02,4450
2019-08-05,4270
2019-08-06,4100
2019-08-07,4250
2019-08-08,4290
2019-08-09,4330
2019-08-12,4300
2019-08-13,4280
2019-08-14,4330
2019-08-15,4250
2019-08-16,4210
2019-08-19,4180
2019-08-20,4100
2019-08-21,4050
2019-08-22,4070
2019-08-23,4080
2019-08-26,4070
2019-08-27,4200
2019-08-28,4190
2019-08-29,4200
2019-08-30,4270
2019-09-02,4220
2019-09-03,4150
2019-09-04,4160
2019-09-05,4220
2019-09-06,4270
2019-09-09,4170
2019-09-10,4190
2019-09-11,4250
2019-09-12,4280
2019-09-13,4310
2019-09-16,4190
2019-09-17,4250
